geoid,state,district,white,white_moe,state_white,state_white_moe,country_white,country_white_moe,ratio_state_white,ratio_state_white_moe,ratio_country_white,ratio_country_white_moe,black,black_moe,state_black,state_black_moe,country_black,country_black_moe,ratio_state_black,ratio_state_black_moe,ratio_country_black,ratio_country_black_moe,native,native_moe,state_native,state_native_moe,country_native,country_native_moe,ratio_state_native,ratio_state_native_moe,ratio_country_native,ratio_country_native_moe,asian,asian_moe,state_asian,state_asian_moe,country_asian,country_asian_moe,ratio_state_asian,ratio_state_asian_moe,ratio_country_asian,ratio_country_asian_moe,islander,islander_moe,state_islander,state_islander_moe,country_islander,country_islander_moe,ratio_state_islander,ratio_state_islander_moe,ratio_country_islander,ratio_country_islander_moe,other,other_moe,state_other,state_other_moe,country_other,country_other_moe,ratio_state_other,ratio_state_other_moe,ratio_country_other,ratio_country_other_moe,two_or_more,two_or_more_moe,state_two_or_more,state_two_or_more_moe,country_two_or_more,country_two_or_more_moe,ratio_state_two_or_more,ratio_state_two_or_more_moe,ratio_country_two_or_more,ratio_country_two_or_more_moe,hispanic,hispanic_moe,state_hispanic,state_hispanic_moe,country_hispanic,country_hispanic_moe,ratio_state_hispanic,ratio_state_hispanic_moe,ratio_country_hispanic,ratio_country_hispanic_moe
50000US0200,Alaska,0,61.03,0.1,61.03,0.1,61.12,0.01,1.0,0.006554171291596751,0.9985274869109948,0.003598994692844036,2.93,0.23,2.93,0.23,12.29,0.02,1.0,0.3159399906235349,0.2384052074857608,0.03820483740798194,14.07,0.44,14.07,0.44,0.66,0.01,1.0,0.12521129203276715,21.318181818181817,1.9797933409873707,5.96,0.4,5.96,0.4,5.37,0.01,1.0,0.2696710556083435,1.1098696461824953,0.15310991510847252,1.32,0.11,1.32,0.11,0.17,0.0,1.0,0.3356643356643356,7.764705882352941,1.2941176470588234,0.23,0.14,0.23,0.14,0.23,0.01,1.0,3.867867867867869,1.0,1.3068181818181819,7.54,0.68,7.54,0.68,2.4,0.02,1.0,0.363700850517475,3.1416666666666666,0.6190707688033892,6.92,0.04,6.92,0.04,17.76,0.0,1.0,0.023122159850307404,0.3896396396396396,0.004504504504504504
50000US0101,Alabama,1,65.46,0.08,65.74,0.03,61.12,0.01,0.9957407970794037,0.0033426299602426954,1.0710078534031413,0.0029682618115921488,27.24,0.42,26.62,0.14,12.29,0.02,1.0232907588279487,0.04231978106837549,2.2164361269324653,0.07556223794835536,1.03,0.22,0.44,0.05,0.66,0.01,2.340909090909091,1.552066980638409,1.5606060606060606,0.714121699196326,1.31,0.12,1.34,0.08,5.37,0.01,0.9776119402985074,0.2968924659065504,0.24394785847299813,0.045601453698052484,0.03,0.04,0.03,0.01,0.17,0.0,1.0,3.75,0.1764705882352941,0.4705882352941176,0.17,0.13,0.15,0.06,0.23,0.01,1.1333333333333335,3.142857142857143,0.7391304347826088,1.196969696969697,1.74,0.3,1.58,0.14,2.4,0.02,1.10126582278481,0.5794573643410852,0.725,0.26210153482880755,3.03,0.08,4.11,0.04,17.76,0.0,0.7372262773722627,0.05328439063378822,0.1706081081081081,0.009009009009009007
50000US0102,Alabama,2,61.26,0.71,65.74,0.03,61.12,0.01,0.9318527532704595,0.022450737337290038,1.0022905759162304,0.023560959588792785,32.06,0.84,26.62,0.14,12.29,0.02,1.204357625845229,0.0757804632426989,2.608624898291294,0.14518712134302855,0.28,0.08,0.44,0.05,0.66,0.01,0.6363636363636365,0.5149136577708008,0.42424242424242425,0.2553386911595867,1.15,0.22,1.34,0.08,5.37,0.01,0.8582089552238805,0.4323720098367985,0.2141527001862197,0.08273456139377462,0.01,0.01,0.03,0.01,0.17,0.0,0.33333333333333337,1.0,0.058823529411764705,0.1176470588235294,0.06,0.04,0.15,0.06,0.23,0.01,0.4,1.015873015873016,0.2608695652173913,0.3712121212121212,1.7,0.36,1.58,0.14,2.4,0.02,1.0759493670886076,0.651485788113695,0.7083333333333334,0.31182721022293214,3.49,0.12,4.11,0.04,17.76,0.0,0.8491484184914841,0.07492969420680264,0.196509009009009,0.013513513513513513
50000US0103,Alabama,3,67.79,0.62,65.74,0.03,61.12,0.01,1.031183449954366,0.01980333553560647,1.1091295811518327,0.020650893740354937,25.96,0.66,26.62,0.14,12.29,0.02,0.9752066115702479,0.05984605241172512,2.1122864117168434,0.11427950983721931,0.19,0.11,0.44,0.05,0.66,0.01,0.4318181818181818,0.6059654631083202,0.28787878787878785,0.34213547646383463,1.89,0.3,1.34,0.08,5.37,0.01,1.4104477611940296,0.618376928236083,0.3519553072625698,0.11304305609498973,0.0,0.01,0.03,0.01,0.17,0.0,0.0,0.75,0.0,0.1176470588235294,0.15,0.11,0.15,0.06,0.23,0.01,1.0,2.6984126984126986,0.6521739130434782,1.0151515151515151,0.99,0.27,1.58,0.14,2.4,0.02,0.6265822784810127,0.4563953488372093,0.41250000000000003,0.23189110354885759,3.03,0.15,4.11,0.04,17.76,0.0,0.7372262773722627,0.08735087771232349,0.1706081081081081,0.01689189189189189
50000US0104,Alabama,4,83.31,0.21,65.74,0.03,61.12,0.01,1.2672649832674172,0.007545421391771988,1.3630562827225132,0.007317754215104968,6.92,0.47,26.62,0.14,12.29,0.02,0.2599549211119459,0.03804715971441345,0.5630593978844589,0.07831773188818865,0.78,0.18,0.44,0.05,0.66,0.01,1.7727272727272727,1.2370486656200943,1.1818181818181819,0.5814006888633753,0.9,0.28,1.34,0.08,5.37,0.01,0.6716417910447761,0.4998882181980773,0.16759776536312848,0.10490761804361096,0.01,0.02,0.03,0.01,0.17,0.0,0.33333333333333337,1.7500000000000002,0.058823529411764705,0.2352941176470588,0.06,0.05,0.15,0.06,0.23,0.01,0.4,1.1746031746031744,0.2608695652173913,0.45833333333333337,1.35,0.24,1.58,0.14,2.4,0.02,0.8544303797468354,0.4588178294573643,0.5625000000000001,0.20938954094034307,6.67,0.3,4.11,0.04,17.76,0.0,1.6228710462287104,0.1775909534945679,0.37556306306306303,0.03378378378378378
50000US0105,Alabama,5,72.64,0.17,65.74,0.03,61.12,0.01,1.1049589291146944,0.00618037146878599,1.1884816753926701,0.0059517284562439305,17.77,0.29,26.62,0.14,12.29,0.02,0.6675432006010518,0.028810417315829638,1.4458909682668837,0.051898887540493245,0.56,0.15,0.44,0.05,0.66,0.01,1.272727272727273,0.9837781266352695,0.8484848484848485,0.4803673938002296,1.51,0.21,1.34,0.08,5.37,0.01,1.126865671641791,0.44958640733288613,0.2811918063314711,0.07925983465571768,0.06,0.03,0.03,0.01,0.17,0.0,2.0,3.7500000000000004,0.3529411764705882,0.3529411764705882,0.2,0.13,0.15,0.06,0.23,0.01,1.3333333333333335,3.3333333333333335,0.8695652173913043,1.2083333333333335,2.18,0.36,1.58,0.14,2.4,0.02,1.379746835443038,0.7057493540051679,0.9083333333333334,0.3151607750538232,5.06,0.01,4.11,0.04,17.76,0.0,1.2311435523114354,0.028832775820727623,0.2849099099099099,0.001126126126126126
50000US0106,Alabama,6,76.15,0.48,65.74,0.03,61.12,0.01,1.1583510800121692,0.01566019591106531,1.2459096858638745,0.0161144996741267,14.85,0.93,26.62,0.14,12.29,0.02,0.5578512396694214,0.07574207795374799,1.2082994304312449,0.1552755924278868,0.13,0.07,0.44,0.05,0.66,0.01,0.29545454545454547,0.3903715332286762,0.19696969696969696,0.21814006888633755,1.58,0.27,1.34,0.08,5.37,0.01,1.1791044776119404,0.5457187569863626,0.2942271880819367,0.10165482993952174,0.04,0.04,0.03,0.01,0.17,0.0,1.3333333333333335,4.0,0.23529411764705882,0.4705882352941176,0.4,0.3,0.15,0.06,0.23,0.01,2.666666666666667,7.301587301587302,1.7391304347826086,2.7651515151515156,2.02,0.51,1.58,0.14,2.4,0.02,1.2784810126582278,0.8790374677002583,0.8416666666666667,0.4390582679352733,4.83,0.41,4.11,0.04,17.76,0.0,1.1751824817518248,0.22240904650543203,0.27195945945945943,0.046171171171171164
50000US0107,Alabama,7,31.97,0.84,65.74,0.03,61.12,0.01,0.4863097048980834,0.02599907116259266,0.5230693717277487,0.027658073178773526,63.29,1.1,26.62,0.14,12.29,0.02,2.377535687453043,0.10765549428962377,5.149715215622457,0.19576850937841173,0.06,0.05,0.44,0.05,0.66,0.01,0.13636363636363635,0.26164311878597596,0.0909090909090909,0.15430539609644087,1.0,0.3,1.34,0.08,5.37,0.01,0.7462686567164178,0.5387882852671585,0.186219739292365,0.11242578926926705,0.04,0.05,0.03,0.01,0.17,0.0,1.3333333333333335,4.75,0.23529411764705882,0.588235294117647,0.03,0.02,0.15,0.06,0.23,0.01,0.2,0.507936507936508,0.13043478260869565,0.1856060606060606,1.0,0.32,1.58,0.14,2.4,0.02,0.6329113924050632,0.5213178294573643,0.4166666666666667,0.27363011320230574,2.61,0.41,4.11,0.04,17.76,0.0,0.6350364963503649,0.21189426008703113,0.14695945945945943,0.046171171171171164
50000US0501,Arkansas,1,75.95,0.12,72.79,0.03,61.12,0.01,1.0434125566698722,0.004157230454754575,1.242637434554974,0.0043333238838508155,17.71,0.49,15.47,0.16,12.29,0.02,1.1447963800904977,0.08703806551988275,1.4410089503661516,0.08442987029581506,0.26,0.09,0.54,0.06,0.66,0.01,0.48148148148148145,0.4458333333333333,0.3939393939393939,0.28473019517795634,0.58,0.11,1.38,0.09,5.37,0.01,0.42028985507246375,0.21515582977376999,0.10800744878957169,0.041370748488043056,0.04,0.04,0.29,0.04,0.17,0.0,0.13793103448275865,0.32000000000000006,0.23529411764705882,0.4705882352941176,0.1,0.07,0.1,0.03,0.23,0.01,1.0,2.1978021978021975,0.43478260869565216,0.6477272727272729,2.16,0.38,2.24,0.17,2.4,0.02,0.9642857142857143,0.4884639284783611,0.9000000000000001,0.3316897006736579,3.2,0.09,7.18,0.04,17.76,0.0,0.44568245125348194,0.030036391287817068,0.18018018018018017,0.010135135135135134
50000US0502,Arkansas,2,68.06,0.16,72.79,0.03,61.12,0.01,0.9350185465036406,0.005166934698116965,1.1135471204188483,0.005599982846378478,22.24,0.33,15.47,0.16,12.29,0.02,1.4376212023270845,0.07240844262298506,1.8096013018714403,0.05959202535425179,0.27,0.08,0.54,0.06,0.66,0.01,0.5,0.4125,0.4090909090909091,0.25487944890929964,1.52,0.16,1.38,0.09,5.37,0.01,1.1014492753623188,0.3771555133681381,0.28305400372439476,0.0606447317316762,0.1,0.12,0.29,0.04,0.17,0.0,0.3448275862068966,0.9406060606060608,0.5882352941176471,1.4117647058823528,0.16,0.11,0.1,0.03,0.23,0.01,1.5999999999999999,3.472527472527472,0.6956521739130435,1.018939393939394,2.48,0.4,2.24,0.17,2.4,0.02,1.107142857142857,0.5282338084069998,1.0333333333333334,0.3505799013820404,5.18,0.07,7.18,0.04,17.76,0.0,0.7214484679665738,0.027537884960078217,0.29166666666666663,0.007882882882882884
